ID,Requirement,Requirement_Changed,PlantUML,Label,Error_Type,Image_Path,Dataset
dataset_C_LOGIC_ERROR_0001,"In the banking module, the system shall generate monthly account statements.","In the banking module, the system shall delete monthly account statements instead of generating them for customers.","@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity BANKING_MODULE {
  BankingModuleId <<key>>
}

entity ACCOUNT_STATEMENT {
  AccountStatementId <<key>>
}

entity CUSTOMER {
  CustomerId <<key>>
}

relationship DELETE_MONTHLY_ACCOUNT_STATEMENTS {
}

relationship GENERATE_MONTHLY_ACCOUNT_STATEMENTS {
}

DELETE_MONTHLY_ACCOUNT_STATEMENTS =1= SYSTEM
DELETE_MONTHLY_ACCOUNT_STATEMENTS -N- ACCOUNT_STATEMENT

GENERATE_MONTHLY_ACCOUNT_STATEMENTS =1= SYSTEM
GENERATE_MONTHLY_ACCOUNT_STATEMENTS -N- ACCOUNT_STATEMENT
GENERATE_MONTHLY_ACCOUNT_STATEMENTS -N- CUSTOMER

SYSTEM -1- BANKING_MODULE
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0001.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0002,The system shall allow users to view their account balance and transaction history.,The system shall require users to hide their account balance and delete their entire transaction history.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity USER {
  UserId <<key>>
}

entity ACCOUNT_BALANCE {
  AccountBalanceId <<key>>
}

entity TRANSACTION_HISTORY {
  TransactionHistoryId <<key>>
}

relationship REQUIRE_HIDE_ACCOUNT_BALANCE {
}

relationship REQUIRE_DELETE_ENTIRE_TRANSACTION_HISTORY {
}

REQUIRE_HIDE_ACCOUNT_BALANCE =1= SYSTEM
REQUIRE_HIDE_ACCOUNT_BALANCE -N- USER
REQUIRE_HIDE_ACCOUNT_BALANCE -N- ACCOUNT_BALANCE

REQUIRE_DELETE_ENTIRE_TRANSACTION_HISTORY =1= SYSTEM
REQUIRE_DELETE_ENTIRE_TRANSACTION_HISTORY -N- USER
REQUIRE_DELETE_ENTIRE_TRANSACTION_HISTORY -N- TRANSACTION_HISTORY
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0002.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0003,"In the e-commerce module, the system shall generate an order confirmation email after each purchase.","In the e-commerce module, the customer shall generate the system as an order confirmation email before each purchase is canceled.","@startchen
entity E_COMMERCE_MODULE {
  ECommerceModuleId <<key>>
}

entity CUSTOMER {
  CustomerId <<key>>
}

entity SYSTEM {
  SystemId <<key>>
}

entity ORDER_CONFIRMATION_EMAIL {
  OrderConfirmationEmailId <<key>>
}

entity PURCHASE {
  PurchaseId <<key>>
}

relationship GENERATE_ORDER_CONFIRMATION_EMAIL {
}

relationship CANCEL_PURCHASE {
}

GENERATE_ORDER_CONFIRMATION_EMAIL =1= CUSTOMER
GENERATE_ORDER_CONFIRMATION_EMAIL -1- SYSTEM
GENERATE_ORDER_CONFIRMATION_EMAIL -N- ORDER_CONFIRMATION_EMAIL
GENERATE_ORDER_CONFIRMATION_EMAIL -1- PURCHASE
GENERATE_ORDER_CONFIRMATION_EMAIL -1- E_COMMERCE_MODULE

CANCEL_PURCHASE =1= CUSTOMER
CANCEL_PURCHASE -1- SYSTEM
CANCEL_PURCHASE -1- PURCHASE
CANCEL_PURCHASE -1- E_COMMERCE_MODULE
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0003.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0004,"In the hospital module, the system shall generate discharge summaries for patients.","In the hospital module, the system shall require patients to generate discharge summaries for the doctors.","@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity PATIENT {
  PatientId <<key>>
}

entity DISCHARGE_SUMMARY {
  DischargeSummaryId <<key>>
}

entity DOCTOR {
  DoctorId <<key>>
}

relationship REQUIRE_GENERATE_DISCHARGE_SUMMARY {
}

REQUIRE_GENERATE_DISCHARGE_SUMMARY =1= SYSTEM
REQUIRE_GENERATE_DISCHARGE_SUMMARY -N- PATIENT
REQUIRE_GENERATE_DISCHARGE_SUMMARY -N- DISCHARGE_SUMMARY
REQUIRE_GENERATE_DISCHARGE_SUMMARY -N- DOCTOR
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0004.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0005,Doctors must be able to view and update patient prescriptions.,"Doctors must be unable to view any patient prescriptions, and patients must be able to update doctors’ prescriptions for them.","@startchen
entity DOCTOR {
  DoctorId <<key>>
}

entity PATIENT {
  PatientId <<key>>
}

entity PRESCRIPTION {
  PrescriptionId <<key>>
}

relationship VIEW_PRESCRIPTION {
}

relationship UPDATE_PRESCRIPTION {
}

VIEW_PRESCRIPTION =1= DOCTOR
VIEW_PRESCRIPTION -N- PRESCRIPTION

UPDATE_PRESCRIPTION =1= PATIENT
UPDATE_PRESCRIPTION -N- PRESCRIPTION
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0005.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0006,Teachers must be able to assign homework and upload study materials.,Students must be able to assign homework to teachers and upload teachers as study materials.,"@startchen
entity STUDENT {
  StudentId <<key>>
}

entity HOMEWORK {
  HomeworkId <<key>>
}

entity TEACHER {
  TeacherId <<key>>
}

entity STUDY_MATERIAL {
  StudyMaterialId <<key>>
}

relationship ASSIGN_HOMEWORK {
}

relationship UPLOAD_TEACHERS_AS_STUDY_MATERIALS {
}

ASSIGN_HOMEWORK =1= STUDENT
ASSIGN_HOMEWORK -N- HOMEWORK
ASSIGN_HOMEWORK -N- TEACHER

UPLOAD_TEACHERS_AS_STUDY_MATERIALS =1= STUDENT
UPLOAD_TEACHERS_AS_STUDY_MATERIALS -N- TEACHER
UPLOAD_TEACHERS_AS_STUDY_MATERIALS -N- STUDY_MATERIAL
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0006.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0007,The system should notify users of overdue books.,The system should notify overdue books of users.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity BOOK {
  BookId <<key>>
}

entity USER {
  UserId <<key>>
}

relationship NOTIFY_OVERDUE_BOOKS {
}

NOTIFY_OVERDUE_BOOKS =1= SYSTEM
NOTIFY_OVERDUE_BOOKS -N- BOOK
NOTIFY_OVERDUE_BOOKS -N- USER
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0007.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0008,Staff should be able to add new books and remove damaged ones.,"Staff should be able to delete new books and add damaged ones, and damaged books should be able to remove staff.","@startchen
entity STAFF {
  StaffId <<key>>
}

entity BOOK {
  BookId <<key>>
  Condition
}

relationship DELETE_NEW_BOOK {
}

relationship ADD_DAMAGED_BOOK {
}

relationship REMOVE_STAFF {
}

DELETE_NEW_BOOK =1= STAFF
DELETE_NEW_BOOK -N- BOOK

ADD_DAMAGED_BOOK =1= STAFF
ADD_DAMAGED_BOOK -N- BOOK

REMOVE_STAFF =N= BOOK
REMOVE_STAFF -1- STAFF
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0008.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0009,The system shall generate discharge summaries for patients. This feature will improve user experience.,The system shall require patients to generate discharge summaries for the system. This feature will worsen user experience and prevent any summaries from being created.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity PATIENT {
  PatientId <<key>>
}

entity DISCHARGE_SUMMARY {
  DischargeSummaryId <<key>>
}

entity USER_EXPERIENCE {
  UserExperienceId <<key>>
}

relationship REQUIRE_GENERATE_DISCHARGE_SUMMARY {
}

relationship PREVENT_CREATE_SUMMARY {
}

relationship WORSEN_USER_EXPERIENCE {
}

REQUIRE_GENERATE_DISCHARGE_SUMMARY =1= SYSTEM
REQUIRE_GENERATE_DISCHARGE_SUMMARY -N- PATIENT
REQUIRE_GENERATE_DISCHARGE_SUMMARY -N- DISCHARGE_SUMMARY

PREVENT_CREATE_SUMMARY =1= SYSTEM
PREVENT_CREATE_SUMMARY -N- DISCHARGE_SUMMARY

WORSEN_USER_EXPERIENCE =1= SYSTEM
WORSEN_USER_EXPERIENCE -1- USER_EXPERIENCE
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0009.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0010,The system should store customer shipping and billing information securely.,The system should delete customer shipping and billing information insecurely and prevent it from being stored.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity CUSTOMER {
  CustomerId <<key>>
}

entity SHIPPING_INFORMATION {
  ShippingInformationId <<key>>
}

entity BILLING_INFORMATION {
  BillingInformationId <<key>>
}

relationship DELETE_INSECURELY {
}

relationship PREVENT_FROM_BEING_STORED {
}

DELETE_INSECURELY =1= SYSTEM
DELETE_INSECURELY -N- CUSTOMER
DELETE_INSECURELY -N- SHIPPING_INFORMATION
DELETE_INSECURELY -N- BILLING_INFORMATION

PREVENT_FROM_BEING_STORED =1= SYSTEM
PREVENT_FROM_BEING_STORED -N- CUSTOMER
PREVENT_FROM_BEING_STORED -N- SHIPPING_INFORMATION
PREVENT_FROM_BEING_STORED -N- BILLING_INFORMATION
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0010.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0011,The system should record the due date of each borrowed book.,The system should forget the due date of each returned book and overwrite it with the borrower’s birthday.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity BOOK {
  BookId <<key>>
  DueDate
}

entity BORROWER {
  BorrowerId <<key>>
  Birthday
}

relationship FORGET_DUE_DATE {
}

relationship OVERWRITE_DUE_DATE {
}

FORGET_DUE_DATE =1= SYSTEM
FORGET_DUE_DATE -N- BOOK

OVERWRITE_DUE_DATE =1= SYSTEM
OVERWRITE_DUE_DATE -N- BOOK
OVERWRITE_DUE_DATE -1- BORROWER
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0011.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0012,"In the banking module, users shall be able to transfer money to other accounts securely.","In the banking module, other accounts shall be able to transfer money to users insecurely, and money shall be able to transfer users to other accounts.","@startchen
entity ACCOUNT {
  AccountId <<key>>
}

entity USER {
  UserId <<key>>
}

entity MONEY {
  MoneyId <<key>>
}

relationship TRANSFER_MONEY_TO_USER_INSECURELY {
}

relationship TRANSFER_USERS_TO_ACCOUNT {
}

TRANSFER_MONEY_TO_USER_INSECURELY =N= ACCOUNT
TRANSFER_MONEY_TO_USER_INSECURELY -N- MONEY
TRANSFER_MONEY_TO_USER_INSECURELY -N- USER

TRANSFER_USERS_TO_ACCOUNT =N= USER
TRANSFER_USERS_TO_ACCOUNT -N- MONEY
TRANSFER_USERS_TO_ACCOUNT -N- ACCOUNT
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0012.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0013,The system must record the due date of each borrowed book.,The system must record the due date of each returned book and allow books to record the due date of each borrower.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity BOOK {
  BookId <<key>>
  DueDate
}

entity BORROWER {
  BorrowerId <<key>>
  DueDate
}

relationship RECORD_DUE_DATE_OF_RETURNED_BOOK {
}

relationship RECORD_DUE_DATE_OF_BORROWER {
}

RECORD_DUE_DATE_OF_RETURNED_BOOK =1= SYSTEM
RECORD_DUE_DATE_OF_RETURNED_BOOK -N- BOOK

RECORD_DUE_DATE_OF_BORROWER =1= BOOK
RECORD_DUE_DATE_OF_BORROWER -N- BORROWER
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0013.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0014,The pharmacy module should track available medicines and their expiry dates.,The pharmacy module should forget available medicines and extend their expiry dates.,"@startchen
entity PHARMACY_MODULE {
  PharmacyModuleId <<key>>
}

entity MEDICINE {
  MedicineId <<key>>
  Availability
  ExpiryDate
}

relationship FORGET_AVAILABLE_MEDICINES {
}

relationship EXTEND_EXPIRY_DATES {
}

FORGET_AVAILABLE_MEDICINES =1= PHARMACY_MODULE
FORGET_AVAILABLE_MEDICINES -N- MEDICINE

EXTEND_EXPIRY_DATES =1= PHARMACY_MODULE
EXTEND_EXPIRY_DATES -N- MEDICINE
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0014.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0015,The system shall generate report cards for each semester. This feature will improve user experience.,The system shall require students to generate report cards for the system each semester. This feature will worsen user experience and prevent any reports from being created.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity STUDENT {
  StudentId <<key>>
}

entity REPORT_CARD {
  ReportCardId <<key>>
}

entity USER_EXPERIENCE {
  UserExperienceId <<key>>
}

entity REPORT {
  ReportId <<key>>
}

relationship REQUIRE_GENERATE_REPORT_CARDS {
}

relationship WORSEN_USER_EXPERIENCE {
}

relationship PREVENT_REPORTS {
}

REQUIRE_GENERATE_REPORT_CARDS =1= SYSTEM
REQUIRE_GENERATE_REPORT_CARDS -N- STUDENT
REQUIRE_GENERATE_REPORT_CARDS -N- REPORT_CARD

WORSEN_USER_EXPERIENCE =1= SYSTEM
WORSEN_USER_EXPERIENCE -1- USER_EXPERIENCE

PREVENT_REPORTS =1= SYSTEM
PREVENT_REPORTS -N- REPORT
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0015.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0016,The application must record the due date of each borrowed book.,The application must record the due date of each returned book and delete the due date for each borrowed book.,"@startchen
entity APPLICATION {
  ApplicationId <<key>>
}

entity BOOK {
  BookId <<key>>
  DueDate
}

relationship RECORD_DUE_DATE {
}

relationship DELETE_DUE_DATE {
}

RECORD_DUE_DATE =1= APPLICATION
RECORD_DUE_DATE -N- BOOK

DELETE_DUE_DATE =1= APPLICATION
DELETE_DUE_DATE -N- BOOK
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0016.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0017,Users should be able to add items to a shopping cart and proceed to checkout.,Users should be able to remove the shopping cart when items are added and proceed to un-checkout multiple times.,"@startchen
entity USER {
  UserId <<key>>
}

entity SHOPPING_CART {
  ShoppingCartId <<key>>
}

entity ITEM {
  ItemId <<key>>
}

entity UN_CHECKOUT {
  UnCheckoutId <<key>>
}

relationship REMOVE_SHOPPING_CART {
}

relationship ADD_ITEM {
}

relationship PROCEED_TO_UN_CHECKOUT {
}

REMOVE_SHOPPING_CART =1= USER
REMOVE_SHOPPING_CART -1- SHOPPING_CART

ADD_ITEM =1= SHOPPING_CART
ADD_ITEM -N- ITEM

PROCEED_TO_UN_CHECKOUT =1= USER
PROCEED_TO_UN_CHECKOUT -N- UN_CHECKOUT
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0017.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0018,The system should notify users of any large withdrawals or deposits.,The system should notify large withdrawals or deposits of any users.,"@startchen
entity SYSTEM {
  SystemId <<key>>
}

entity USER {
  UserId <<key>>
}

entity WITHDRAWAL {
  WithdrawalId <<key>>
  Size
}

entity DEPOSIT {
  DepositId <<key>>
  Size
}

relationship NOTIFY_LARGE_WITHDRAWAL {
}

relationship NOTIFY_LARGE_DEPOSIT {
}

NOTIFY_LARGE_WITHDRAWAL =1= SYSTEM
NOTIFY_LARGE_WITHDRAWAL -N- USER
NOTIFY_LARGE_WITHDRAWAL -N- WITHDRAWAL

NOTIFY_LARGE_DEPOSIT =1= SYSTEM
NOTIFY_LARGE_DEPOSIT -N- USER
NOTIFY_LARGE_DEPOSIT -N- DEPOSIT
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0018.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0019,The application must track all books and their borrowers.,"The application must track all borrowers and their books that do not exist, and ensure that books borrow people instead of people borrowing books.","@startchen
entity APPLICATION {
  ApplicationId <<key>>
}

entity BORROWER {
  BorrowerId <<key>>
}

entity BOOK {
  BookId <<key>>
  ExistenceStatus
}

relationship TRACK_BORROWER {
}

relationship TRACK_BOOK {
}

relationship BORROW_PEOPLE {
}

TRACK_BORROWER =1= APPLICATION
TRACK_BORROWER -N- BORROWER

TRACK_BOOK =1= APPLICATION
TRACK_BOOK -N- BOOK

BORROW_PEOPLE =N= BOOK
BORROW_PEOPLE -N= BORROWER
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0019.png,dataset_C_LOGIC_ERROR
dataset_C_LOGIC_ERROR_0020,"Users shall be able to search for books by title, author, or ISBN.","Users shall be able to hide all books by title, replace authors with ISBNs, and delete search results permanently.","@startchen
entity USER {
  UserId <<key>>
}

entity BOOK {
  BookId <<key>>
  Title
}

entity AUTHOR {
  AuthorId <<key>>
}

entity ISBN {
  IsbnId <<key>>
}

entity SEARCH_RESULT {
  SearchResultId <<key>>
}

relationship HIDE_BOOK_BY_TITLE {
}

relationship REPLACE_AUTHOR_WITH_ISBN {
}

relationship DELETE_SEARCH_RESULT_PERMANENTLY {
}

HIDE_BOOK_BY_TITLE =1= USER
HIDE_BOOK_BY_TITLE -N- BOOK

REPLACE_AUTHOR_WITH_ISBN =1= USER
REPLACE_AUTHOR_WITH_ISBN -N- AUTHOR
REPLACE_AUTHOR_WITH_ISBN -N- ISBN

DELETE_SEARCH_RESULT_PERMANENTLY =1= USER
DELETE_SEARCH_RESULT_PERMANENTLY -N- SEARCH_RESULT
@endchen",MISMATCH,logic_error,data/images/dataset_C_LOGIC_ERROR/dataset_C_LOGIC_ERROR_0020.png,dataset_C_LOGIC_ERROR
